"id","genero","edad","ocup","cp","len_cp"
"19","M","1","10","48073","5"
"20","M","25","14","55113","5"
"21","M","18","16","99353","5"
"22","M","18","15","53706","5"
"23","M","35","0","90049","5"
"24","F","25","7","10023","5"
"25","M","18","4","01609","5"
"26","M","25","7","23112","5"
"27","M","25","11","19130","5"
"28","F","25","1","14607","5"
"29","M","35","7","33407","5"
"30","F","35","7","19143","5"
"31","M","56","7","06840","5"
"32","F","25","0","19355","5"
"33","M","45","3","55421","5"
"34","F","18","0","02135","5"
"35","M","45","1","02482","5"
"36","M","25","3","94123","5"
"37","F","25","9","66212","5"
"38","F","18","4","02215","5"
"39","M","18","4","61820","5"
"40","M","45","0","10543","5"
"41","F","18","4","15116","5"
"42","M","25","8","24502","5"
"43","M","25","12","60614","5"
"44","M","45","17","98052","5"
"45","F","45","16","94110","5"
"46","M","18","19","75602","5"
"47","M","18","4","94305","5"
"48","M","25","4","92107","5"
"49","M","18","12","77084","5"
"50","F","25","2","98133","5"
"51","F","1","10","10562","5"
"52","M","18","4","72212","5"
"53","M","25","0","96931","5"
"54","M","50","1","56723","5"
"55","F","35","12","55303","5"
"56","M","35","20","60440","5"
"57","M","18","19","30350","5"
"58","M","25","2","30303","5"
"59","F","50","1","55413","5"
"60","M","50","1","72118","5"
"61","M","25","17","95122","5"
"62","F","35","3","98105","5"
"63","M","18","4","54902","5"
"64","M","18","1","53706","5"
"65","M","35","12","55803","5"
"66","M","25","18","57706","5"
"67","F","50","5","60181","5"
"68","M","18","4","53706","5"
"69","F","25","1","02143","5"
"70","M","18","4","53703","5"
"71","M","25","14","95008","5"
"72","F","45","0","55122","5"
"73","M","18","4","53706","5"
"74","M","35","14","94530","5"
"75","F","1","10","01748","5"
"76","M","35","7","55413","5"
"77","M","18","4","15321","5"
"78","F","45","1","98029","5"
"79","F","45","0","98103","5"
"80","M","56","1","49327","5"
"81","F","25","0","60640","5"
"82","M","25","17","48380","5"
"83","F","25","2","94609","5"
"84","M","18","4","53140","5"
"85","M","18","4","94945","5"
"86","F","1","10","54467","5"
"87","M","25","14","48360","5"
"88","F","45","1","02476","5"
"89","F","56","9","85749","5"
"90","M","56","13","85749","5"
"91","M","35","7","07650","5"
"92","F","18","4","44243","5"
"93","M","25","17","95825","5"
"94","M","25","17","28601","5"
"95","M","45","0","98201","5"
"96","F","25","16","78028","5"
"97","F","35","3","66210","5"
"98","F","35","7","33547","5"
"99","F","1","10","19390","5"
"100","M","35","17","95401","5"
"101","F","18","3","33314","5"
"102","M","35","19","20871","5"
"103","M","45","7","92104","5"
"104","M","25","12","00926","5"
"105","M","45","12","90277","5"
"106","F","35","11","79101","5"
"107","M","45","18","63129","5"
"108","M","25","12","30316","5"
"109","M","45","15","92028","5"
"110","M","25","2","90803","5"
"111","M","35","15","55416","5"
"112","M","25","16","97209","5"
"113","M","18","12","37032","5"
"114","F","25","2","83712","5"
"115","M","25","17","28083","5"
"116","M","25","17","55744","5"
"117","M","25","17","33314","5"
"118","M","35","17","22315","5"
"119","F","1","10","77515","5"
"120","M","25","11","27106","5"
"121","M","35","7","75229","5"
"122","F","18","4","94305","5"
"123","M","35","9","67208","5"
"124","M","56","7","91356","5"
"125","M","45","14","01701","5"
"126","M","18","9","98117","5"
"127","F","45","3","01770","5"
"128","M","56","6","37922","5"
"129","M","25","11","20164","5"
"130","M","35","17","50021","5"
"131","M","18","4","06520","5"
"132","M","25","17","99709","5"
"133","F","25","0","55071","5"
"134","M","25","0","66212","5"
"135","M","18","4","20006","5"
"136","M","18","2","21202","5"
"137","F","45","6","78758","5"
"138","M","18","20","22203","5"
"139","F","25","20","45409","5"
"140","F","35","1","55107","5"
"141","M","35","13","62035","5"
"142","M","25","7","10011","5"
"143","M","18","3","64043","5"
"144","M","25","17","29401","5"
"145","M","18","4","19081","5"
"146","F","35","20","10954","5"
"147","M","18","4","91360","5"
"148","M","50","17","57747","5"
"149","M","25","1","29205","5"
"150","M","35","7","98144","5"
"151","F","25","20","85013","5"
"152","M","18","4","48104","5"
"153","M","1","10","51537","5"
"154","M","50","20","94530","5"
"155","M","35","12","07470","5"
"156","F","45","7","14519","5"
"157","M","35","16","12866","5"
"158","M","56","7","28754","5"
"159","F","45","0","37922","5"
"160","M","35","7","13021","5"
"162","F","18","4","93117","5"
"163","M","18","4","85013","5"
"164","F","56","13","94566","5"
"165","M","18","16","98502","5"
"166","M","18","4","92802","5"
"167","F","25","11","10022","5"
"168","F","50","0","46970","5"
"169","M","25","7","55439","5"
"170","M","25","11","07002","5"
"171","F","50","17","55441","5"
"172","M","25","3","07661","5"
"173","M","25","0","45237","5"
"174","M","25","16","21203","5"
"175","F","25","2","95123","5"
"176","F","18","3","55016","5"
"177","M","50","1","54016","5"
"178","M","56","17","53705","5"
"179","M","25","0","02135","5"
"180","M","45","12","01603","5"
"181","M","18","17","33186","5"
"182","M","18","4","03052","5"
"183","F","45","1","55407","5"
"184","F","25","0","19001","5"
"185","M","45","0","14468","5"
"186","M","18","5","91767","5"
"187","F","45","1","94061","5"
"188","M","56","16","79930","5"
"189","M","18","0","60076","5"
"190","M","25","17","55125","5"
"191","M","18","4","04915","5"
"192","M","18","1","10977","5"
"193","F","45","15","44106","5"
"194","F","1","10","29146","5"
"195","M","25","12","10458","5"
"196","F","35","9","94587","5"
"197","M","18","14","10023","5"
"198","M","25","12","55108","5"
"199","M","18","4","83706","5"
"200","F","18","4","84321","5"
"201","F","35","2","55117","5"
"202","M","18","4","53706","5"
"203","F","18","4","53715","5"
"204","M","25","7","92123","5"
"205","M","35","12","97333","5"
"206","M","25","17","20194","5"
"207","M","25","12","94115","5"
"208","M","35","17","55432","5"
"209","M","35","1","90048","5"
"210","F","1","10","25801","5"
"211","M","45","17","90620","5"
"212","M","25","16","53714","5"
"213","F","18","4","01609","5"
"214","M","18","20","80218","5"
"215","M","35","14","92075","5"
"216","M","45","13","52761","5"
"217","M","18","4","22903","5"
"218","M","35","14","95822","5"
"219","F","25","4","55113","5"
"220","M","25","12","22903","5"
"221","F","25","0","94063","5"
"222","M","25","1","55116","5"
"223","M","25","17","28262","5"
"224","F","18","4","14850","5"
"225","M","25","7","11215","5"
"226","M","35","1","94518","5"
"227","M","35","20","90291","5"
"228","M","25","15","55455","5"
"229","M","18","10","04576","5"
"230","M","45","1","43210","5"
"231","M","25","3","55455","5"
"232","M","25","20","55408","5"
"234","M","35","7","39652","5"
"235","M","25","0","98153","5"
"236","M","25","5","55126","5"
"237","M","25","6","46835","5"
"238","F","50","7","90291","5"
"239","M","18","19","94618","5"
"240","M","50","17","55113","5"
"241","M","35","20","55121","5"
"242","F","18","4","53706","5"
"243","M","25","16","11576","5"
"244","M","50","7","19072","5"
"245","M","35","16","66046","5"
"246","F","18","4","60625","5"
"247","M","25","17","94404","5"
"248","M","18","17","72703","5"
"249","F","18","14","48126","5"
"250","M","35","16","11229","5"
"251","M","56","17","55105","5"
"252","M","25","12","94112","5"
"253","F","25","11","97370","5"
"254","M","35","17","49015","5"
"255","M","35","0","85310","5"
"256","M","45","16","55076","5"
"257","M","18","18","55113","5"
"258","M","25","7","55436","5"
"259","M","25","1","60615","5"
"260","M","18","19","98126","5"
"261","M","25","20","75801","5"
"262","F","25","1","68503","5"
"263","F","25","7","22304","5"
"264","M","35","0","20755","5"
"265","F","35","7","55116","5"
"266","M","35","11","75229","5"
"267","M","45","12","55001","5"
"268","F","18","12","29708","5"
"269","M","25","2","55408","5"
"270","M","50","14","55414","5"
"271","M","18","4","48202","5"
"272","M","18","0","80302","5"
"273","M","18","4","55427","5"
"274","M","18","4","55455","5"
"275","M","25","0","48162","5"
"276","M","45","16","01982","5"
"277","F","35","1","98126","5"
"278","M","45","18","60482","5"
"279","M","25","14","91214","5"
"280","M","50","7","19118","5"
"281","F","35","0","94117","5"
"282","M","25","17","94401","5"
"283","M","25","0","10003","5"
"284","M","25","12","91910","5"
"285","F","35","0","94109","5"
"286","M","25","1","54601","5"
"287","M","50","13","94706","5"
"288","F","25","12","97119","5"
"289","F","25","0","11801","5"
"290","F","25","20","94591","5"
"291","M","35","12","55110","5"
"292","M","35","7","19406","5"
"294","F","45","9","43147","5"
"295","M","18","0","80203","5"
"296","M","50","5","89432","5"
"297","M","18","2","97211","5"
"298","F","18","4","19010","5"
"299","M","25","12","97370","5"
"300","M","25","7","78664","5"
"301","M","18","4","61820","5"
"302","M","18","4","04901","5"
"303","M","25","7","20006","5"
"304","M","25","0","55414","5"
"305","F","18","0","55414","5"
"306","M","18","0","53051","5"
"307","M","50","16","90027","5"
"308","M","25","2","10025","5"
"309","M","25","4","16801","5"
"310","F","18","4","31207","5"
"311","M","18","4","31201","5"
"312","F","50","2","22207","5"
"313","F","18","4","02138","5"
"314","F","56","9","46911","5"
"315","F","56","1","55105","5"
"316","M","56","13","90740","5"
"317","M","35","7","38555","5"
"318","F","56","13","55104","5"
"319","F","50","6","33436","5"
"320","M","35","6","99516","5"
"321","M","18","4","55128","5"
"322","M","56","17","55117","5"
"323","M","45","12","53716","5"
"324","M","35","17","55106","5"
"325","F","50","3","55112","5"
"326","M","50","11","25302","5"
"327","M","35","18","55448","5"
"328","M","35","12","80401","5"
"329","M","35","7","02115","5"
"330","M","56","7","92065","5"
"331","M","25","7","55902","5"
"332","M","50","1","55109","5"
"333","M","35","2","55410","5"
"334","F","56","2","55113","5"
"335","M","35","18","55434","5"
"336","M","18","0","98765","5"
"337","M","18","19","80205","5"
"338","M","35","7","55116","5"
"339","M","50","7","80207","5"
"340","F","25","3","28001","5"
"341","F","56","13","92119","5"
"342","M","18","12","55076","5"
"343","F","35","3","55127","5"
"344","M","35","14","75034","5"
"345","M","25","12","94114","5"
"346","F","25","0","55110","5"
"347","F","56","1","55305","5"
"348","M","50","7","55110","5"
"349","M","1","10","08035","5"
"350","M","45","20","08035","5"
"351","M","18","4","55105","5"
"352","M","18","4","60115","5"
"353","F","35","7","92625","5"
"354","M","35","1","55117","5"
"355","M","18","3","55107","5"
"356","M","56","20","55101","5"
"357","M","18","0","98103","5"
"358","F","56","1","20815","5"
"359","M","25","17","55128","5"
"360","M","35","17","28208","5"
"361","F","25","14","94115","5"
"362","M","35","20","55407","5"
"363","M","18","10","55419","5"
"364","F","35","1","46815","5"
"365","F","18","4","02138","5"
"366","M","50","15","55126","5"
"367","M","50","12","55421","5"
"368","M","25","0","90293","5"
"369","M","35","1","55110","5"
"370","M","18","17","22304","5"
"371","M","18","4","02141","5"
"372","F","18","4","72227","5"
"373","F","25","2","55347","5"
"374","F","35","14","55346","5"
"375","M","25","2","55106","5"
"376","M","35","1","80026","5"
"377","M","25","17","55418","5"
"378","F","18","0","55105","5"
"379","F","35","1","54822","5"
"380","M","25","2","92024","5"
"381","M","35","17","89015","5"
"382","F","35","20","66205","5"
"383","F","25","7","78757","5"
"384","M","25","11","55075","5"
"385","M","25","6","68131","5"
"386","M","25","0","55408","5"
"387","F","35","7","55111","5"
"388","F","25","0","10021","5"
"389","M","25","6","68128","5"
"390","M","25","4","55405","5"
"391","M","45","11","22122","5"
"392","M","18","7","20037","5"
"393","M","35","17","55402","5"
"394","M","18","0","55013","5"
"395","M","18","5","55104","5"
"396","M","25","1","56187","5"
"397","M","35","17","22124","5"
"398","M","25","17","55454","5"
"399","F","35","6","55128","5"
"400","F","18","3","55422","5"
"401","M","18","0","55129","5"
"402","M","25","11","55427","5"
"403","M","18","4","02138","5"
"404","M","18","4","10128","5"
"405","M","56","1","13077","5"
"406","M","25","20","55105","5"
"407","M","18","17","89503","5"
"408","M","25","11","02143","5"
"409","M","18","12","55122","5"
"410","F","25","1","55417","5"
"411","F","45","1","43214","5"
"412","M","35","15","55117","5"
"413","M","25","11","55409","5"
"414","M","25","0","55317","5"
"415","F","35","0","55406","5"
"416","M","45","14","55076","5"
"417","F","25","0","50613","5"
"418","F","25","3","54016","5"
"419","M","18","3","55422","5"
"420","M","35","1","55406","5"
"421","F","45","3","55125","5"
"422","M","56","17","55104","5"
"423","M","18","4","55455","5"
"424","M","25","17","55112","5"
"425","M","25","12","55303","5"
"426","M","18","4","55455","5"
"427","M","35","12","55104","5"
"428","F","18","4","55455","5"
"429","M","18","0","54901","5"
"430","F","18","10","55306","5"
"431","M","18","10","55303","5"
"432","M","45","16","55306","5"
"433","M","50","6","55115","5"
"434","F","45","3","98155","5"
"435","M","25","7","55125","5"
"436","M","18","4","43023","5"
"437","M","35","17","55030","5"
"438","M","18","11","53705","5"
"439","M","35","14","55129","5"
"440","M","56","1","32940","5"
"441","M","35","1","55127","5"
"442","M","25","1","55105","5"
"443","M","25","3","55421","5"
"444","M","56","0","55108","5"
"445","M","45","12","55117","5"
"446","F","50","0","55042","5"
"447","F","45","11","55105","5"
"448","M","25","17","80123","5"
"449","M","25","7","85037","5"
"450","M","45","1","24523","5"
"451","M","56","13","54720","5"
"452","M","50","17","55117","5"
"453","M","18","4","55102","5"
"454","M","25","20","55092","5"
"455","F","35","2","55113","5"
"456","M","35","0","55105","5"
"457","M","18","4","54703","5"
"459","F","18","4","55105","5"
"460","M","45","18","55313","5"
"461","M","50","7","55075","5"
"462","M","18","16","55416","5"
"463","M","25","7","55105","5"
"464","F","18","4","55455","5"
"465","M","18","19","94523","5"
"466","M","25","5","55405","5"
"467","F","35","3","55075","5"
"468","F","1","10","55082","5"
"469","M","35","6","55122","5"
"470","F","1","10","55068","5"
"471","M","35","7","08904","5"
"472","M","35","0","55418","5"
"473","F","18","4","55112","5"
"474","M","25","17","92126","5"
"475","F","25","2","55421","5"
"476","M","35","0","55127","5"
"477","M","35","14","55410","5"
"478","M","50","16","55113","5"
"479","M","25","12","55042","5"
"480","F","18","4","55422","5"
"481","M","45","7","55115","5"
"482","M","25","14","55305","5"
"483","M","18","12","55105","5"
"484","F","1","10","55104","5"
"485","M","56","7","55042","5"
"486","M","56","0","91367","5"
"487","F","35","17","55082","5"
"488","M","25","12","55107","5"
"489","M","18","4","55455","5"
"490","M","1","10","55345","5"
"491","M","18","4","56043","5"
"492","M","25","12","55112","5"
"493","M","50","7","55016","5"
"494","F","35","0","17870","5"
"495","M","18","10","55421","5"
"496","M","18","4","55455","5"
"497","F","25","17","55412","5"
"498","M","35","17","55113","5"
"499","F","25","1","55108","5"
"500","F","18","2","55105","5"
"501","M","25","2","55372","5"
"502","M","35","6","55126","5"
"503","M","35","11","73120","5"
"504","M","25","2","17003","5"
"505","M","35","17","37815","5"
"507","F","25","0","55405","5"
"508","M","25","12","55418","5"
"509","M","25","2","55125","5"
"510","M","18","12","55109","5"
"511","F","45","4","15232","5"
"512","M","35","0","55379","5"
"513","M","25","0","55119","5"
"514","M","25","2","55113","5"
"515","M","25","1","55406","5"
"516","F","56","14","55033","5"
"517","F","25","14","55408","5"
"518","F","35","12","75240","5"
"519","F","35","14","55038","5"
"520","F","35","20","55104","5"
"521","M","56","7","55105","5"
"522","M","25","12","55124","5"
"523","M","50","7","55105","5"
"524","M","18","0","91320","5"
"525","M","35","6","19027","5"
"526","M","45","17","94806","5"
"527","F","25","2","11201","5"
"528","F","18","17","83843","5"
"529","M","35","12","92009","5"
"530","M","25","2","10019","5"
"531","F","18","14","22206","5"
"532","M","25","7","94301","5"
"533","M","25","12","27514","5"
"534","M","25","15","55902","5"
"535","M","35","6","95370","5"
"536","M","25","20","01267","5"
"537","M","45","14","07704","5"
"538","M","56","16","95407","5"
"539","M","25","2","55103","5"
"540","M","18","1","15213","5"
"542","M","18","4","78705","5"
"543","M","25","5","55057","5"
"544","M","35","12","94538","5"
"545","M","35","17","01890","5"
"546","F","25","0","37211","5"
"547","M","35","12","76109","5"
"548","F","35","16","96860","5"
"549","M","25","6","53217","5"
"550","M","45","8","21559","5"
"551","M","35","20","55116","5"
"552","M","50","18","23456","5"
"553","M","25","2","94131","5"
"554","M","25","12","94086","5"
"555","M","18","4","53213","5"
"556","F","25","9","37221","5"
"557","M","56","1","30030","5"
"558","M","35","20","55108","5"
"559","F","25","7","60422","5"
"560","M","45","15","81335","5"
"561","F","18","14","64060","5"
"562","M","35","20","48083","5"
"563","M","25","4","53703","5"
"564","M","45","1","49419","5"
"565","M","25","16","45242","5"
"566","M","25","17","92122","5"
"568","F","50","17","19716","5"
"569","F","18","4","97339","5"
"570","M","25","4","33314","5"
"571","M","50","5","95401","5"
"572","M","18","4","61801","5"
"573","F","35","2","98119","5"
"574","M","25","19","90214","5"
"575","M","25","12","92130","5"
"576","F","45","15","20910","5"
"577","M","35","0","02115","5"
"578","M","18","17","90064","5"
"579","M","25","5","32839","5"
"580","M","1","10","08534","5"
"581","M","50","14","73543","5"
"582","M","18","4","67042","5"
"583","F","25","0","48067","5"
"584","F","25","0","94403","5"
"585","M","18","1","53703","5"
"586","M","35","14","53092","5"
"587","M","25","20","92649","5"
"588","F","25","11","23220","5"
"589","M","18","2","90210","5"
"590","F","35","6","98032","5"
"591","M","25","0","76201","5"
"592","M","18","0","92103","5"
"593","F","50","1","91711","5"
"594","F","56","13","60076","5"
"595","M","25","7","10019","5"
"596","F","25","1","01950","5"
"597","M","35","12","80206","5"
"598","M","35","7","95476","5"
"599","M","50","6","53711","5"
"600","M","35","17","66209","5"
"601","F","18","20","06320","5"
"602","F","56","6","14612","5"
"603","F","25","6","32256","5"
"604","M","45","17","32256","5"
"605","F","18","4","44425","5"
"606","F","1","10","49507","5"
"607","M","25","0","43614","5"
"608","M","18","4","18011","5"
"609","M","25","7","10012","5"
"610","M","25","4","77025","5"
"611","M","35","0","20715","5"
"612","M","50","7","95020","5"
"613","M","35","20","10562","5"
"614","M","35","1","90024","5"
"615","M","50","17","32951","5"
"616","M","25","7","94115","5"
"617","F","25","7","92117","5"
"618","M","25","0","74105","5"
"619","F","18","1","94706","5"
"620","M","18","0","13210","5"
"621","M","18","4","93560","5"
"622","M","25","0","92612","5"
"623","M","25","17","60555","5"
"624","M","25","1","75207","5"
"625","F","35","12","44106","5"
"626","M","18","4","77005","5"
"627","M","50","2","97210","5"
"628","F","35","0","20715","5"
"629","F","1","10","48154","5"
"630","F","35","14","80525","5"
"631","M","35","17","28601","5"
"632","M","45","17","07649","5"
"633","M","25","17","94131","5"
"634","F","1","10","49512","5"
"635","M","56","17","33785","5"
"636","M","18","20","92055","5"
"637","M","35","12","97132","5"
"638","M","25","6","77584","5"
"639","M","45","17","85202","5"
"640","M","18","4","47406","5"
"641","F","35","0","55116","5"
"642","F","35","1","78155","5"
"643","M","25","2","23188","5"
"644","M","25","20","93704","5"
"645","M","35","20","11215","5"
"646","M","35","7","08505","5"
"647","M","35","12","85224","5"
"648","F","25","12","94131","5"
"649","M","25","4","80526","5"
"650","M","25","17","49445","5"
"651","M","35","7","20895","5"
"652","M","18","20","12222","5"
"653","M","56","13","92660","5"
"654","M","50","7","75023","5"
"655","F","25","2","92629","5"
"656","F","45","16","92106","5"
"657","F","50","13","34691","5"
"658","F","25","0","10021","5"
"659","F","25","0","28134","5"
"660","M","45","16","70507","5"
"661","M","45","1","13114","5"
"662","M","18","4","99163","5"
"663","F","25","7","12345","5"
"664","M","35","18","74601","5"
"665","M","18","2","13317","5"
"666","F","18","0","08540","5"
"667","M","25","18","98438","5"
"668","F","25","3","22042","5"
"669","M","25","17","30307","5"
"670","M","25","12","30303","5"
"671","M","18","4","61761","5"
"672","M","35","7","46845","5"
"673","M","25","20","10023","5"
"674","M","25","17","22042","5"
"675","M","25","20","02048","5"
"676","M","18","16","55129","5"
"677","M","50","2","94122","5"
"678","M","25","0","34952","5"
"679","M","35","16","29681","5"
"680","M","25","12","37013","5"
"681","M","35","7","30501","5"
"682","M","25","4","27510","5"
"683","M","25","4","27514","5"
"684","M","25","4","27510","5"
"685","M","25","4","27514","5"
"686","M","18","4","27514","5"
"687","F","25","7","14136","5"
"688","M","56","13","13407","5"
"689","F","50","0","48103","5"
"690","M","25","12","90717","5"
"691","M","35","11","96813","5"
"692","F","25","0","85207","5"
"693","M","35","12","98103","5"
"694","M","18","4","76401","5"
"695","F","18","1","04240","5"
"696","M","25","12","94114","5"
"697","F","50","6","97330","5"
"698","M","18","4","76401","5"
"699","M","18","0","73505","5"
"700","M","50","17","14650","5"
"701","F","18","4","01002","5"
"702","M","35","7","90808","5"
"703","F","56","1","44074","5"
"704","F","35","8","85712","5"
"705","M","25","4","48065","5"
"706","M","35","20","78664","5"
"707","M","35","7","17740","5"
"708","M","25","0","37042","5"
"709","M","18","0","92647","5"
"710","M","25","20","85207","5"
"711","M","25","18","80521","5"
"712","M","25","0","95136","5"
"713","M","35","7","79912","5"
"714","M","18","4","76013","5"
"715","M","18","0","53715","5"
"716","M","18","4","98188","5"
"717","M","25","11","90211","5"
"718","M","18","2","90211","5"
"719","M","1","0","75070","5"
"720","M","18","0","55129","5"
"721","F","35","9","97520","5"
"722","M","25","12","55106","5"
"723","M","25","12","98027","5"
"724","M","50","13","90266","5"
"725","M","56","11","08904","5"
"726","F","25","9","77449","5"
"727","M","35","11","94061","5"
"728","M","25","6","11598","5"
"729","M","35","12","85284","5"
"730","M","25","0","10580","5"
"731","M","45","3","55410","5"
"732","M","25","7","07030","5"
"733","M","35","16","30034","5"
"734","M","25","7","90078","5"
"735","M","25","14","04240","5"
"736","M","18","12","07070","5"
"737","M","1","19","53711","5"
"738","M","18","17","99205","5"
"739","M","35","12","55803","5"
"740","M","25","14","24551","5"
"741","M","25","5","44095","5"
"742","M","18","0","54758","5"
"743","F","1","2","60660","5"
"744","M","25","17","77007","5"
"745","M","1","10","90004","5"
"746","F","18","19","95019","5"
"747","M","18","4","98606","5"
"748","M","25","0","60098","5"
"749","M","35","18","56303","5"
"750","F","35","9","13066","5"
"751","F","25","17","97201","5"
"752","F","25","3","97401","5"
"753","M","1","10","42754","5"
"754","M","35","7","38024","5"
"755","F","35","0","94002","5"
"756","M","35","0","90064","5"
"757","M","25","12","97401","5"
"758","M","35","7","19518","5"
"759","F","56","3","89156","5"
"760","M","56","15","94114","5"
"761","M","18","7","99945","5"
"762","M","1","10","63041","5"
"763","M","18","10","02882","5"
"764","M","18","20","85296","5"
"765","M","25","17","74467","5"
"766","F","25","7","95128","5"
"767","M","25","12","45241","5"
"768","M","25","12","17067","5"
"769","M","45","17","02421","5"
"770","M","18","4","98499","5"
"771","F","50","1","75087","5"
"772","M","18","12","89118","5"
"773","M","25","6","48108","5"
"774","M","18","4","22903","5"
"775","M","1","17","56258","5"
"776","F","25","3","92627","5"
"777","M","18","19","87543","5"
"778","M","18","17","32694","5"
"779","M","25","0","60156","5"
"780","M","25","17","91776","5"
"781","M","18","4","95076","5"
"782","M","56","1","28223","5"
"783","M","25","4","53703","5"
"784","M","18","0","11040","5"
"785","M","18","19","29307","5"
"786","M","25","0","55987","5"
"787","M","18","4","77802","5"
"788","M","25","0","37601","5"
"789","M","18","1","67212","5"
"790","M","25","17","45694","5"
"791","M","35","7","27511","5"
"792","M","25","17","01002","5"
"793","F","35","14","37043","5"
"794","M","50","20","10543","5"
"795","F","35","14","19147","5"
"796","M","50","6","98237","5"
"797","F","50","7","20175","5"
"798","F","25","20","48464","5"
"799","F","25","5","98498","5"
"800","F","35","12","72032","5"
"801","F","25","20","95776","5"
"802","M","25","16","22801","5"
"803","M","18","4","67217","5"
"804","M","25","20","90032","5"
"805","M","35","12","37211","5"
"806","M","35","0","34990","5"
"807","M","18","4","89015","5"
"808","M","25","7","85226","5"
"809","M","25","17","70508","5"
"810","M","25","12","98006","5"
"811","M","50","0","94043","5"
"812","M","25","6","37930","5"
"813","M","18","4","70002","5"
"814","F","18","4","92612","5"
"815","M","25","4","37130","5"
"816","M","45","0","92108","5"
"817","M","18","4","41076","5"
"818","M","18","4","60107","5"
"819","M","35","7","60611","5"
"820","M","35","7","78759","5"
"821","M","18","2","14456","5"
"822","F","25","1","07666","5"
"823","M","25","0","92078","5"
"824","M","35","12","94530","5"
"825","M","56","1","39532","5"
"826","F","35","1","80210","5"
"827","M","45","2","55409","5"
"828","M","18","4","70817","5"
"829","M","1","19","53711","5"
"830","M","35","7","60657","5"
"831","F","45","0","20874","5"
"832","M","18","2","19464","5"
"833","M","35","7","46825","5"
"834","F","35","12","78640","5"
"835","M","56","0","94952","5"
"836","M","25","11","10023","5"
"837","M","56","7","08540","5"
"838","M","50","17","92661","5"
